ROA,REPDTE,ROE,ASSET,CERT,INTINC,NETINC,LIAB,DEP
0.6312229945519444,20200331,4.92,95114,10004,1077,147,83053,77700
1.6667580459455014,20200331,17.89,256172,10011,2725,1064,231678,196880
0.6728819711900271,20200331,6.14,161445,10012,1685,285,142772,142528
1.3299997863110884,20200331,10.59,115649,10015,1329,389,100748,100234
1.147674134078814,20200331,5.65,2089096,10044,20169,5728,1680941,1614693
-0.893954965897412,20200331,-6.7,141312,10055,1416,-299,123483,123080
0.652872110777655,20200331,2.96,76416,10057,722,124,59390,59267
0.7909515505336769,20200331,8.72,1765482,1005,16233,3489,1602106,1322587
0.5094223230453904,20200331,4.21,99991,10072,897,128,87776,87544
0.9777660083721215,20200331,5.73,49466,10074,539,120,41021,40853
1.5074936457389931,20200331,12.17,34165,10075,367,129,29890,29717
0.6697707210316819,20200331,2.37,33862,10077,240,57,24194,24033
-1.3779366553281982,20200331,-14.06,105576,1008,1114,-358,95554,87205
1.069842835999718,20200331,9.72,289322,10101,3235,759,257711,250164
1.0943469423899201,20200331,8.3,297522,10111,3375,811,258138,235530
1.1667344288955632,20200331,9.14,194464,10118,2084,556,169704,155597
0.04747070167630915,20200331,0.25,33964,10120,276,4,27600,26757
1.2556590361405289,20200331,5.92,146424,10121,1378,467,114475,113624
1.2292347772011967,20200331,11.93,170779,10122,1543,509,153672,148389
1.4596278104033344,20200331,13.9,135744,10125,1188,471,122473,118909
1.3745670138880217,20200331,11.65,200042,10127,2624,688,176301,162908
1.0999389410891327,20200331,10.77,114377,10132,1184,313,102575,88716
0.48995069731282176,20200331,3.31,178783,10137,1692,219,152407,151542
0.876846228483128,20200331,3.76,28361,10145,300,61,21839,21804
0.8822662155100182,20200331,7.31,696162,1014,6334,1511,612439,585509
0.6868305661291314,20200331,7.74,275774,10157,2687,475,250531,244805
1.1165327055234917,20200331,12.82,276559,10159,2782,776,252954,247495
0.5075840190344006,20200331,3.06,98766,10160,1167,128,81942,81117
1.1800999964540264,20200331,10.68,70312,10162,705,208,62595,61360
